,symbol,country1,country2,value,date,type,category,url,title,StartDate,lastupdate
0,MEXDEU84261,Mexico,Germany,27038016,2022,Import,"Derricks, cranes, mobile lifting frames",/mexico/imports/germany/derricks-cranes-mobile-lifting-frames,"Mexico Imports from Germany of Derricks, cranes, mobile lifting frames",1990.0,2023-12-07T09:33:00
1,MEXDEU84252,Mexico,Germany,195448,2022,Export,Pulley Tackle and Hoists,/mexico/exports/germany/pulley-tackle-hoists-than-skip-hoists-winches-capstans-jacks,Mexico exports of pulley tackle and hoists to Germany,1990.0,2023-12-07T09:33:00
2,MEXDEU84251,Mexico,Germany,4432775,2022,Import,Pulley Tackle and Hoists,/mexico/imports/germany/pulley-tackle-hoists-than-skip-hoists-winches-capstans-jacks,Mexico Imports from Germany of Pulley Tackle and Hoists,1990.0,2023-12-07T09:33:00
3,MEXDEU84242,Mexico,Germany,131944,2022,Export,Fire Extinguishers; Spray Guns,/mexico/exports/germany/mechanical-appliances-hand-operated-projecting-dispersing-spraying-liquids-powder,Mexico exports of fire extinguishers; spray guns to Germany,1990.0,2023-12-07T09:33:00
4,MEXDEU84241,Mexico,Germany,57847532,2022,Import,Fire Extinguishers; Spray Guns,/mexico/imports/germany/mechanical-appliances-hand-operated-projecting-dispersing-spraying-liquids-powder,Mexico Imports from Germany of Fire Extinguishers; Spray Guns,1990.0,2023-12-07T09:33:00
5,MEXDEU84231,Mexico,Germany,12324712,2022,Import,"Weighing Machinery, Weighing Machine Weights",/mexico/imports/germany/weighing-machines-weighing-machine-weights,"Mexico Imports from Germany of Weighing Machinery, Weighing Machine Weights",1990.0,2023-12-07T09:33:00
6,MEXDEU84222,Mexico,Germany,4435,2022,Export,"Dish Washing Machines, Machinery for Cleaning",/mexico/exports/germany/machines-dishwash-clean-control-fill-packing,"Mexico exports of dish washing machines, machinery for cleaning to Germany",1990.0,2023-12-07T09:33:00
7,MEXDEU84221,Mexico,Germany,185013007,2022,Import,"Dish Washing Machines, Machinery for Cleaning",/mexico/imports/germany/machines-dishwash-clean-control-fill-packing,"Mexico Imports from Germany of Dish Washing Machines, Machinery for Cleaning",1990.0,2023-12-07T09:33:00
8,MEXDEU84212,Mexico,Germany,44229666,2022,Export,Centrifuges; Filtering or Purifying Machinery,/mexico/exports/germany/centrifuges-filter-machinery-liquid-gases,Mexico exports of centrifuges; filtering or purifying machinery to Germany,1990.0,2023-12-07T09:33:00
9,MEXDEU84211,Mexico,Germany,212146638,2022,Import,Centrifuges; Filtering or Purifying Machinery,/mexico/imports/germany/centrifuges-filter-machinery-liquid-gases,Mexico Imports from Germany of Centrifuges; Filtering or Purifying Machinery,1990.0,2023-12-07T09:33:00
10,MEXDEU84201,Mexico,Germany,1313585,2022,Import,Calendering or Other Rolling Machines,/mexico/imports/germany/calendering-machines-cylinders-parts,Mexico Imports from Germany of Calendering or Other Rolling Machines,1990.0,2023-12-07T09:33:00
11,MEXDEU84192,Mexico,Germany,2442584,2022,Export,Apparatus for Treatment of Materials By Temperature,/mexico/exports/germany/machinery-temp-change-treat-mat-heat,Mexico exports of apparatus for treatment of materials by temperature to Germany,1990.0,2023-12-07T09:33:00
12,MEXDEU84191,Mexico,Germany,75666075,2022,Import,Apparatus for Treatment of Materials By Temperature,/mexico/imports/germany/machinery-temp-change-treat-mat-heat,Mexico Imports from Germany of Apparatus for Treatment of Materials By Temperature,1990.0,2023-12-07T09:33:00
13,MEXDEU84182,Mexico,Germany,378468,2022,Export,"Refrigerators, Freezers, Heat Pumps",/mexico/exports/germany/refrigerators-freezers-heat-pumps,"Mexico exports of refrigerators, freezers, heat pumps to Germany",1990.0,2023-12-07T09:33:00
14,MEXDEU84181,Mexico,Germany,4417004,2022,Import,"Refrigerators, Freezers, Heat Pumps",/mexico/imports/germany/refrigerators-freezers-heat-pumps,"Mexico Imports from Germany of Refrigerators, Freezers, Heat Pumps",1990.0,2023-12-07T09:33:00
15,MEXDEU84171,Mexico,Germany,21437751,2022,Import,"Industrial or Laboratory Furnaces and Ovens, Non-electric",/mexico/imports/germany/industrial-laboratory-furnaces-ovens-non-electric,"Mexico Imports from Germany of Industrial or Laboratory Furnaces and Ovens, Non-electric",1990.0,2023-12-07T09:33:00
16,MEXDEU84061,Mexico,Germany,1641378,2022,Import,"Steam turbines and other vapor turbines, parts",/mexico/imports/germany/steam-turbines-vapor-turbines-parts,"Mexico Imports from Germany of Steam turbines and other vapor turbines, parts",1990.0,2023-12-07T09:33:00
17,MEXDEU84092,Mexico,Germany,3295146,2022,Export,Parts of Internal Combustion Piston Engines,/mexico/exports/germany/parts-engines-heading-8407-8408,Mexico exports of parts of internal combustion piston engines to Germany,1990.0,2023-12-07T09:33:00
